15	51	2
15	75	1
15	100	1
15	105	1
15	136	1
15	148	2
15	179	2
15	192	1
15	213	1
15	231	1
15	295	1
15	296	1
15	400	2
51	75	1
51	105	2
51	136	1
51	213	1
51	231	1
51	400	3
70	71	1
70	75	1
70	78	1
70	100	1
70	105	2
70	127	1
70	131	2
70	136	1
70	148	1
70	179	1
70	186	1
70	225	2
70	229	2
70	400	5
70	408	1
71	75	1
71	78	2
71	100	1
71	105	1
71	131	1
71	136	2
71	213	1
71	255	1
71	400	2
75	99	1
75	100	2
75	105	2
75	127	1
75	131	1
75	136	2
75	148	2
75	179	5
75	192	1
75	225	1
75	231	2
75	292	2
75	295	1
75	400	6
75	408	4
76	117	1
76	136	1
76	148	1
76	210	1
76	213	2
76	231	1
76	255	1
76	400	2
76	408	2
78	80	1
78	105	1
78	131	1
78	136	1
78	213	1
78	255	1
78	292	1
78	400	1
80	105	1
80	131	1
80	136	1
80	213	1
80	334	2
80	408	1
99	100	2
99	127	1
99	131	1
99	136	3
99	148	1
99	179	1
99	225	2
99	231	1
99	400	1
99	408	1
100	136	3
100	148	2
100	179	2
100	225	2
100	229	1
100	231	1
100	255	1
100	292	2
100	295	1
100	400	3
100	408	1
105	110	1
105	131	3
105	136	5
105	148	5
105	179	1
105	213	2
105	225	2
105	231	1
105	345	1
105	400	9
105	408	6
110	136	1
110	148	1
110	186	1
110	213	1
110	225	2
110	400	2
110	408	1
117	136	3
117	213	2
117	229	1
117	231	1
117	255	1
117	295	1
117	296	1
117	400	2
117	408	1
127	136	3
127	148	1
127	179	1
127	186	1
127	225	4
127	231	1
127	400	3
127	408	1
131	136	3
131	148	2
131	179	1
131	213	4
131	225	1
131	229	3
131	267	1
131	400	5
131	408	3
136	148	5
136	179	2
136	186	1
136	213	4
136	225	6
136	229	1
136	231	2
136	255	2
136	292	1
136	295	2
136	296	2
136	323	1
136	328	1
136	334	1
136	345	1
136	400	14
136	408	6
148	179	3
148	213	3
148	225	3
148	231	2
148	255	1
148	267	1
148	295	1
148	296	1
148	334	1
148	345	1
148	400	6
148	408	4
179	192	1
179	225	1
179	231	1
179	292	1
179	295	1
179	296	1
179	323	1
179	334	1
179	400	3
179	408	3
186	213	1
186	225	2
186	400	3
192	295	1
192	296	1
192	328	1
192	334	1
192	345	1
192	400	1
210	225	1
210	255	2
210	292	1
213	225	2
213	229	2
213	231	2
213	255	2
213	267	2
213	292	1
213	334	1
213	400	5
213	408	3
225	229	1
225	231	1
225	255	1
225	400	7
225	408	3
229	295	1
229	296	1
229	400	4
231	267	1
231	292	1
231	295	1
231	400	1
231	408	3
255	400	1
267	400	1
267	408	1
292	295	1
292	400	1
292	408	1
295	296	5
295	345	1
295	400	3
295	408	1
296	345	1
296	400	2
323	328	2
323	334	4
328	334	4
345	400	1
400	408	10
